Track_ID, Class_name, X, Y
2,bicycle,98,361
2,bicycle,98,362
4,truck,463,191
4,truck,438,190
4,truck,415,189
4,truck,397,189
5,bicycle,100,362
5,bicycle,99,362
5,bicycle,99,361
8,bicycle,99,363
8,bicycle,99,363
4,truck,150,177
4,truck,129,175
4,truck,116,174
4,truck,97,175
4,truck,78,174
4,truck,59,172
4,truck,41,171
4,truck,23,169
4,truck,12,166
4,truck,6,164
10,bicycle,586,199
11,bicycle,103,357
10,bicycle,561,198
11,bicycle,102,355
10,bicycle,546,199
11,bicycle,102,354
10,bicycle,520,200
11,bicycle,101,356
10,bicycle,497,199
11,bicycle,102,357
2,bicycle,102,359
10,bicycle,470,198
11,bicycle,102,357
2,bicycle,102,359
10,bicycle,445,198
10,bicycle,421,196
11,bicycle,101,358
2,bicycle,94,358
10,bicycle,400,195
11,bicycle,101,358
2,bicycle,94,358
10,bicycle,378,195
2,bicycle,92,358
2,bicycle,92,358
2,bicycle,91,358
2,bicycle,91,358
20,truck,116,170
20,truck,94,170
20,truck,71,171
20,truck,55,171
24,bicycle,150,351
24,bicycle,151,351
24,bicycle,152,351
24,bicycle,153,351
24,bicycle,154,351
26,bicycle,150,358
26,bicycle,160,359
26,bicycle,164,359
26,bicycle,170,361
26,bicycle,171,362
26,bicycle,176,363
11,bicycle,156,357
2,bicycle,159,358
11,bicycle,158,357
2,bicycle,161,361
2,bicycle,155,361
2,bicycle,153,362
32,bicycle,179,351
32,bicycle,184,351
34,truck,257,161
34,truck,239,166
34,truck,222,169
34,truck,201,170
34,truck,179,171
34,truck,161,171
34,truck,149,171
37,bicycle,293,361
34,truck,136,170
37,bicycle,296,361
34,truck,123,169
37,bicycle,304,361
34,truck,113,167
37,bicycle,307,361
34,truck,99,167
40,truck,128,153
40,truck,137,152
40,truck,152,149
40,truck,166,149
40,truck,184,147
40,truck,199,148
40,truck,204,148
40,truck,216,148
43,truck,184,150
43,truck,181,149
44,bicycle,517,350
44,bicycle,516,350
50,truck,445,151
50,truck,426,151
50,truck,408,150
50,truck,391,149
50,truck,377,148
50,truck,364,148
50,truck,349,148
53,truck,241,137
50,truck,335,149
53,truck,241,139
50,truck,319,152
53,truck,241,139
50,truck,302,155
50,truck,283,157
44,bicycle,462,351
50,truck,269,157
44,bicycle,461,351
50,truck,261,156
44,bicycle,458,351
50,truck,251,155
50,truck,237,156
53,truck,243,154
57,truck,218,145
53,truck,238,153
57,truck,218,144
53,truck,229,153
53,truck,228,155
59,truck,198,149
59,truck,188,148
59,truck,180,148
59,truck,171,146
59,truck,164,145
57,truck,205,140
59,truck,154,147
57,truck,206,139
59,truck,146,146
43,truck,171,143
57,truck,207,140
59,truck,139,148
43,truck,173,147
57,truck,206,140
59,truck,132,149
43,truck,173,147
59,truck,128,149
43,truck,173,148
57,truck,207,144
59,truck,123,149
43,truck,173,149
57,truck,206,144
59,truck,117,151
59,truck,110,151
66,bicycle,367,356
66,bicycle,369,355
66,bicycle,372,355
66,bicycle,374,355
66,bicycle,374,355
